Module	Section	Sample Name	Source
FastQC	all_sections	t02-UJ-ATACseq_S3_L003_R2_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S3_L003_R2_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S14_L003_R2_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S14_L003_R2_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S3_L004_R1_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S3_L004_R1_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S14_L002_R1_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S14_L002_R1_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S3_L002_R1_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S3_L002_R1_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S3_L001_R2_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S3_L001_R2_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S14_L004_R1_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S14_L004_R1_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S14_L001_R1_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S14_L001_R1_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S3_L004_R2_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S3_L004_R2_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S14_L003_R1_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S14_L003_R1_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S14_L004_R2_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S14_L004_R2_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S14_L002_R2_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S14_L002_R2_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S3_L001_R1_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S3_L001_R1_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S3_L003_R1_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S3_L003_R1_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S14_L001_R2_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S14_L001_R2_001_fastqc.zip
FastQC	all_sections	t02-UJ-ATACseq_S3_L002_R2_001	/home/mikolaj.radosz/paired36prawdziwe/wyniki-fastqc/t02/t02-UJ-ATACseq_S3_L002_R2_001_fastqc.zip
